status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,,Solo Leisure,Economy Class,Dallas Ft Worth to Atlanta,April 2023,1.0,2.0,,,,1.0,2,no,1,  It’s a pretty well known fact that Frontier has the most horrible customer service. Only a good airline to fly if you’re carrying nothing on you. They will make a deal out of every item you are carrying and try to make you pay for bring it on the flight.
✅ Trip Verified ,,Family Leisure,Economy Class,Charlotte to Denver,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,2,no,1,  This airline is terrible. I tried to give them a chance but each time I do my flights are delayed or cancelled. It’s not worth trying to save the money. Book with a better airline! I know I will going forward.
Not Verified ,,Family Leisure,Economy Class,Orlando to Atlanta,March 2023,2.0,1.0,,,,1.0,1,no,1,"  I will never fly with this airline again. First off it cost us $280 to check 3 “carry on” bags. And that was only one way. Second, you can’t even provide free water to your passengers??They lost my sons car seat on our flight to Atlanta from Orlando ($250 car seat). We wandered back and forth between carousels for over an hour looking for his carseat. We had no choice but to drive 3.5 hours home at 1:30am with him strapped in on the seat with the regular seat belt. The guy working the frontier office at the airport told me to write down some information on a piece of paper, I didn’t even get any kind of confirmation number or anything from him. I got an email from the airline a couple days later with a number to call about our missing item. I called every day for a week, multiple times a day and left messages every day, even sent them two emails. I never heard from them still and that’s been a month ago. Worst airline I have ever flown with. Their fees are ridiculous. "
✅ Trip Verified ,,Couple Leisure,Economy Class,Columbus to Orlando,April 2023,2.0,2.0,,,,1.0,1,no,1," My flight was canceled and I had paid for a checked bag. We were told we needed to see an Agent to ensure our bag would transferred to the new flight without additional fees. When I went to the Frontier ticket counter at Columbus the General Mgr told me I had to pay for my bag (AGAIN) and was very rude about the process. He charged me $79, I asked if he could charge me the same amount I originally paid ($58) and he said absolutely NOT! Because it doesn’t show in his computer system that I had paid for a checked bag. He even refused to look a my phone or at my Frontier account. I can’t believe a Manager would conduct themselves in such a manner! Never again!"
✅ Trip Verified ,,Solo Leisure,Economy Class,"Las Vegas, NV to Nashville, TN",April 2023,1.0,1.0,,,,1.0,1,no,1,  This is my third flight on frontier. I have never had an issue on any other airline before. Every one of my Frontier flights have had issues. I have had my flight listed as on time and then cancelled while waiting to board. And now 5 minutes before boarding they delay the flight over two hours. This will be my last flight with them as you cannot contact customer support for anything. Even their chat fails. They even said the flight is delayed due to weather in Nashville which has little to no wind and no chance of rain for the entire day. They seem to have forgotten people have weather apps. Worst airline ever.
✅ Trip Verified ,,Family Leisure,Economy Class,Portland to Orlando ,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  This is the first and last time I will fly Frontier! Not only was the cost of luggage ridiculous (3 bags were $263!) but the flight attendants were rude, had little knowledge of anything and seemed to goof around with each other the whole time we waited. Our flight was delayed 3+ hours and all they could tell us was “we’re waiting for maintenance and have no idea when we’ll be ready to board”.  I have a 1 year old and 3 year old and this was an absolute nightmare. "
✅ Trip Verified ,,Solo Leisure,Economy Class,Houston to Seattle via Denver,April 2023,1.0,1.0,,,,1.0,1,no,1,"  My round trip flight was double the cost because of their carry on policy. The measurements for the personal item in the email are not the same at the cubbies they use at the airport to measure the size of a “personal item.” Today my flight was delayed, and rather than say what was happening over the intercom or say the information to the crowd, the attendants chose to tell one person at the front of the loading line and have them pass the word down. This took a very long time to get the information relayed. There was no update emailed until fifteen minutes after everyone had sat back down."
Not Verified ,,Couple Leisure,Economy Class,Chicago to Orlando,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Terrible experience. While boarding the plane the attendants were standing in the aisle hollering at everyone confusing everybody and making it take longer to board the plane because they are standing directly in everyone’s way. Then once we boarded they overbooked the flight and it took them like an hour to figure out if we could fit everyone, then because they took so long we got delayed 3 hours because of a storm (which would have been avoided if we could have left on time). Once on the plane the 2 flight attendants gossiped back and forth the entire flight about other co workers and how much they didn’t like certain people.  They spent so much time talking during the whole flight, nobody at the front of the plane could get any sleep if you didn’t have headphones. These were the most unprofessional flight attendants I’ve ever had. While stuck at the airport for weather we were ready to leave finally after waiting hours and the flight attendants realize that the plane is completely out of bottled water (they haven’t handed out a single water to anyone on this plane, I would know because I’m in the first row). Then attempting to get home from Orlando, I get to the airport to find out that my flight has randomly been cancelled. Do not recommend flying Frontier. This is the first and last time I’ll be flying with them as I’ve never had an experience this poor."
✅ Trip Verified ,,Family Leisure,Economy Class,Mexico City to Washington via Denver,April 2023,1.0,5.0,,,,1.0,1,no,1," We flew with Volaris to start our trip back home. Even though they are owned by Frontier it was a way better Experience once we got to DEN we had to switchover to Frontier we had a six hour lay over at DEN we were at our initial gate which was already a far walk since we did have a six hour wait it was fine, However the flight before us got delayed, which made them move our gate right before initial boarding chose a further walk may not seem like a big deal but since we were traveling for a long time that day, it was just a little frustrating, had no issues with Volaris with my personal bag like mind you they’re owned by the same company Frontier however made me pay $99 for a bag that fit perfectly under my seat and this is my biggest issue with them they have us measure our bags as we’re walking in to give our tickets to get on the plane which also holds up a line because if it doesn’t fit, then you need to step aside I feel as they’re measuring system isn’t accurate flying with Frontier has been one of the worst experiences by far"
✅ Trip Verified ,A320,Family Leisure,Economy Class,Las Vegas to Baltimore,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Awful airline, recommend saving your money, time, and stress and going on a different airline like Southwest. The amount of stress and lack of compassion with every one from their team locked in that I would never fly this horrible airline ever again. Not only do they charge you for everything, they try to finesse everything out of you by arguing and purposely creating confusion. I would not wish this airline on my worse enemy. Spend a couple dollars more and pick a different airline."
✅ Trip Verified ,,Solo Leisure,Economy Class,Dallas Ft Worth to Atlanta,April 2023,1.0,2.0,,,,1.0,2,no,1,  It’s a pretty well known fact that Frontier has the most horrible customer service. Only a good airline to fly if you’re carrying nothing on you. They will make a deal out of every item you are carrying and try to make you pay for bring it on the flight.
✅ Trip Verified ,,Family Leisure,Economy Class,Charlotte to Denver,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,2,no,1,  This airline is terrible. I tried to give them a chance but each time I do my flights are delayed or cancelled. It’s not worth trying to save the money. Book with a better airline! I know I will going forward.
Not Verified ,,Family Leisure,Economy Class,Orlando to Atlanta,March 2023,2.0,1.0,,,,1.0,1,no,1,"  I will never fly with this airline again. First off it cost us $280 to check 3 “carry on” bags. And that was only one way. Second, you can’t even provide free water to your passengers??They lost my sons car seat on our flight to Atlanta from Orlando ($250 car seat). We wandered back and forth between carousels for over an hour looking for his carseat. We had no choice but to drive 3.5 hours home at 1:30am with him strapped in on the seat with the regular seat belt. The guy working the frontier office at the airport told me to write down some information on a piece of paper, I didn’t even get any kind of confirmation number or anything from him. I got an email from the airline a couple days later with a number to call about our missing item. I called every day for a week, multiple times a day and left messages every day, even sent them two emails. I never heard from them still and that’s been a month ago. Worst airline I have ever flown with. Their fees are ridiculous. "
✅ Trip Verified ,,Couple Leisure,Economy Class,Columbus to Orlando,April 2023,2.0,2.0,,,,1.0,1,no,1," My flight was canceled and I had paid for a checked bag. We were told we needed to see an Agent to ensure our bag would transferred to the new flight without additional fees. When I went to the Frontier ticket counter at Columbus the General Mgr told me I had to pay for my bag (AGAIN) and was very rude about the process. He charged me $79, I asked if he could charge me the same amount I originally paid ($58) and he said absolutely NOT! Because it doesn’t show in his computer system that I had paid for a checked bag. He even refused to look a my phone or at my Frontier account. I can’t believe a Manager would conduct themselves in such a manner! Never again!"
✅ Trip Verified ,,Solo Leisure,Economy Class,"Las Vegas, NV to Nashville, TN",April 2023,1.0,1.0,,,,1.0,1,no,1,  This is my third flight on frontier. I have never had an issue on any other airline before. Every one of my Frontier flights have had issues. I have had my flight listed as on time and then cancelled while waiting to board. And now 5 minutes before boarding they delay the flight over two hours. This will be my last flight with them as you cannot contact customer support for anything. Even their chat fails. They even said the flight is delayed due to weather in Nashville which has little to no wind and no chance of rain for the entire day. They seem to have forgotten people have weather apps. Worst airline ever.
✅ Trip Verified ,,Family Leisure,Economy Class,Portland to Orlando ,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  This is the first and last time I will fly Frontier! Not only was the cost of luggage ridiculous (3 bags were $263!) but the flight attendants were rude, had little knowledge of anything and seemed to goof around with each other the whole time we waited. Our flight was delayed 3+ hours and all they could tell us was “we’re waiting for maintenance and have no idea when we’ll be ready to board”.  I have a 1 year old and 3 year old and this was an absolute nightmare. "
✅ Trip Verified ,,Solo Leisure,Economy Class,Houston to Seattle via Denver,April 2023,1.0,1.0,,,,1.0,1,no,1,"  My round trip flight was double the cost because of their carry on policy. The measurements for the personal item in the email are not the same at the cubbies they use at the airport to measure the size of a “personal item.” Today my flight was delayed, and rather than say what was happening over the intercom or say the information to the crowd, the attendants chose to tell one person at the front of the loading line and have them pass the word down. This took a very long time to get the information relayed. There was no update emailed until fifteen minutes after everyone had sat back down."
Not Verified ,,Couple Leisure,Economy Class,Chicago to Orlando,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Terrible experience. While boarding the plane the attendants were standing in the aisle hollering at everyone confusing everybody and making it take longer to board the plane because they are standing directly in everyone’s way. Then once we boarded they overbooked the flight and it took them like an hour to figure out if we could fit everyone, then because they took so long we got delayed 3 hours because of a storm (which would have been avoided if we could have left on time). Once on the plane the 2 flight attendants gossiped back and forth the entire flight about other co workers and how much they didn’t like certain people.  They spent so much time talking during the whole flight, nobody at the front of the plane could get any sleep if you didn’t have headphones. These were the most unprofessional flight attendants I’ve ever had. While stuck at the airport for weather we were ready to leave finally after waiting hours and the flight attendants realize that the plane is completely out of bottled water (they haven’t handed out a single water to anyone on this plane, I would know because I’m in the first row). Then attempting to get home from Orlando, I get to the airport to find out that my flight has randomly been cancelled. Do not recommend flying Frontier. This is the first and last time I’ll be flying with them as I’ve never had an experience this poor."
✅ Trip Verified ,,Family Leisure,Economy Class,Mexico City to Washington via Denver,April 2023,1.0,5.0,,,,1.0,1,no,1," We flew with Volaris to start our trip back home. Even though they are owned by Frontier it was a way better Experience once we got to DEN we had to switchover to Frontier we had a six hour lay over at DEN we were at our initial gate which was already a far walk since we did have a six hour wait it was fine, However the flight before us got delayed, which made them move our gate right before initial boarding chose a further walk may not seem like a big deal but since we were traveling for a long time that day, it was just a little frustrating, had no issues with Volaris with my personal bag like mind you they’re owned by the same company Frontier however made me pay $99 for a bag that fit perfectly under my seat and this is my biggest issue with them they have us measure our bags as we’re walking in to give our tickets to get on the plane which also holds up a line because if it doesn’t fit, then you need to step aside I feel as they’re measuring system isn’t accurate flying with Frontier has been one of the worst experiences by far"
✅ Trip Verified ,A320,Family Leisure,Economy Class,Las Vegas to Baltimore,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Awful airline, recommend saving your money, time, and stress and going on a different airline like Southwest. The amount of stress and lack of compassion with every one from their team locked in that I would never fly this horrible airline ever again. Not only do they charge you for everything, they try to finesse everything out of you by arguing and purposely creating confusion. I would not wish this airline on my worse enemy. Spend a couple dollars more and pick a different airline."
✅ Trip Verified ,,Solo Leisure,Business Class,Chicago to Denver,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Literally the worst flight experience of my life. Staff had no idea what was going on, it felt like it was everyone’s first day working there. Extremely rude, probably because they were stressed because they didn’t know what was going on. Honestly, just a true mess. It was to the point where I wasn’t very comfortable flying with them."
Not Verified ,A321,Family Leisure,Economy Class,Denver to St Louis,April 2023,1.0,2.0,,,,1.0,1,no,1," Two hour flight and we were held up for wind shear for about about hour. Once cleared we had to return to the terminal to fuel. How can an hour delay force you to return to the terminal for fuel. Poor planning. Mark Wahlberg said it best ""running out of fuel as the wheels touch down is using hope as a tactic. Hope ain't a tactic Frontier!"
✅ Trip Verified ,,Couple Leisure,Economy Class,Tampa to Rochester,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1, Horrible. Waited in line to drop baggage off for 1.5 hours in Tampa. The baggage people were over 30 minutes late. Then after we landed in Rochester we waited well over an hour for baggage because Frontier had two employees working. I will never fly this airline again.
✅ Trip Verified ,,Couple Leisure,Economy Class,Seattle to Phoenix,April 2023,,,,,,1.0,1,no,1,"  I checked in and left my checked-in luggage 2 hours before my flight. I entered the security line in SeaTac 80 minutes before boarding time. The security line took 2 hours and I was late at my gate. Frontier showed zero compassion to me and 2 dozen other passengers. They pretty much told us, ""How did other passenger came on time?"". The plane was still there. They never made any announcement for the late passengers. And they knew they had 20+ people late but decided not to care about it. Also they sent our checked-in luggages with no way to track their status."
Not Verified ,,Family Leisure,Economy Class,Phoenix to Atlanta,April 2023,2.0,1.0,1.0,,,1.0,3,no,1,"  Unbelievable! I understand that they are less expensive than other airlines, but they should still have a little bit of pride in their company. I flew home yesterday from Phoenix. Both of my flights were horrible. I purchased a ticket for my grandson with his caraway. I entered his age (1) and that I had a car seat. They assigned the seat both times in the middle seat. Per their policy, car seats have to be in the windows seat. Both times I had to ask someone to switch their seat so he could sit at the window. The attendants both times could care less! There were several other crazy incidents that I can’t fit in this box. Do better!"
✅ Trip Verified ,,Solo Leisure,Economy Class,Dallas Ft Worth to Denver,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  The worst airline ever. I am a frequent traveler, I had this flight because of my last minute travel plan and the flight cost was cheap too. But speaking honestly about the service this airline is unreliable, irresponsible and the employees are rude, unprofessional. I am writing this review after my second worst experience with Frontier airlines (twice in a same month). Friends never suggested me this airline, now I understand the reason. Book this flight only if you are not in rush or have nothing planned for next 32 hours. My flight was delayed three times on march 16 2023. And twice on return flight of march 18 2023. Now today again april 7, 2023 my flight is delayed then canceled. I had connecting flights which is obviously not possible at this point. This is so much frustrating and irresponsible behavior at airport I have ever seen from the frontier airlines and their employee at gates"
✅ Trip Verified ,,Solo Leisure,Economy Class,Rochester to Tampa,April 2023,3.0,3.0,2.0,1.0,1.0,3.0,2,no,2,"  First of all, I understood the bag policy and I adhered to it. So when I get to Rochester and they Weigh it and move me along. I expect to have the same experience on the way back to Rochester. What I do not understand is how I had to pay for a bag that I did not add a single thing to, that somehow grew 10lbs larger. I do not understand also why the people working the counter have to be so impersonable and uncaring and stare at me like I grew twelve heads. I will never use this airline again. So I sure hope keeping my $50 was worth it when I fly a lot and could have used you guys again. I’d rather take a propeller plane. Do better."
